,Round,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,10,0.28776,0.3084,"[[101, 42, 2, 23, 8, 66, 35, 61, 544, 118], [6, 268, 2, 34, 3, 69, 95, 48, 276, 199], [17, 44, 9, 117, 120, 123, 296, 98, 133, 43], [11, 18, 5, 191, 87, 201, 210, 156, 48, 73], [16, 7, 4, 96, 189, 77, 416, 100, 51, 44], [7, 21, 7, 147, 103, 311, 199, 110, 63, 32], [2, 9, 4, 103, 74, 51, 612, 100, 14, 31], [3, 33, 2, 69, 115, 126, 121, 345, 70, 116], [26, 53, 0, 30, 2, 77, 12, 30, 598, 172], [7, 71, 2, 33, 5, 27, 74, 75, 246, 460]]"
1,1,10,0.38112,0.4163,"[[459, 65, 15, 12, 11, 17, 26, 39, 266, 90], [18, 506, 2, 8, 6, 16, 22, 13, 178, 231], [109, 59, 86, 61, 190, 105, 204, 116, 43, 27], [47, 45, 34, 155, 58, 213, 212, 110, 24, 102], [56, 22, 41, 41, 332, 60, 249, 131, 38, 30], [26, 30, 36, 78, 67, 399, 147, 125, 44, 48], [7, 27, 28, 58, 127, 37, 598, 58, 13, 47], [52, 40, 14, 39, 91, 103, 54, 490, 19, 98], [117, 82, 3, 16, 3, 21, 12, 15, 597, 134], [22, 153, 1, 20, 4, 9, 34, 33, 183, 541]]"
2,2,10,0.4369,0.4792,"[[505, 66, 55, 17, 16, 15, 29, 25, 199, 73], [19, 634, 8, 15, 6, 14, 20, 17, 94, 173], [71, 31, 283, 74, 158, 82, 167, 81, 28, 25], [26, 30, 72, 301, 41, 166, 227, 72, 8, 57], [51, 25, 101, 54, 358, 34, 231, 102, 27, 17], [18, 15, 91, 176, 37, 391, 138, 90, 20, 24], [1, 19, 61, 74, 102, 23, 660, 28, 10, 22], [34, 26, 38, 78, 72, 88, 55, 545, 13, 51], [138, 100, 14, 17, 6, 21, 15, 12, 585, 92], [30, 209, 7, 36, 4, 10, 36, 36, 102, 530]]"
3,3,10,0.46316,0.504,"[[495, 59, 69, 15, 22, 13, 27, 24, 223, 53], [17, 676, 12, 12, 5, 16, 13, 17, 94, 138], [56, 30, 381, 65, 147, 91, 112, 69, 30, 19], [22, 28, 82, 290, 38, 223, 188, 58, 14, 57], [37, 27, 140, 57, 397, 47, 147, 100, 34, 14], [9, 16, 102, 172, 33, 452, 93, 82, 23, 18], [3, 19, 75, 80, 111, 38, 612, 30, 12, 20], [31, 19, 48, 65, 71, 106, 35, 567, 15, 43], [97, 96, 17, 10, 7, 23, 12, 9, 670, 59], [24, 238, 10, 22, 7, 14, 32, 38, 115, 500]]"
4,4,10,0.48446,0.5248,"[[580, 65, 38, 10, 16, 7, 30, 19, 175, 60], [19, 708, 9, 13, 5, 7, 12, 10, 72, 145], [88, 30, 340, 71, 139, 74, 126, 78, 32, 22], [36, 28, 66, 330, 31, 179, 179, 78, 21, 52], [44, 26, 113, 66, 380, 40, 158, 120, 33, 20], [16, 19, 84, 190, 31, 414, 96, 102, 24, 24], [3, 18, 57, 87, 89, 27, 641, 32, 12, 34], [32, 16, 28, 65, 60, 69, 36, 631, 13, 50], [116, 98, 13, 9, 3, 17, 11, 10, 662, 61], [29, 237, 5, 15, 6, 7, 27, 30, 82, 562]]"
5,5,10,0.50126,0.54,"[[558, 57, 41, 15, 16, 10, 32, 17, 182, 72], [12, 710, 11, 12, 5, 5, 15, 9, 60, 161], [79, 24, 364, 76, 131, 83, 126, 61, 31, 25], [24, 20, 64, 333, 32, 192, 179, 85, 25, 46], [39, 22, 119, 60, 397, 51, 142, 120, 31, 19], [12, 13, 87, 183, 30, 446, 95, 89, 21, 24], [2, 17, 63, 59, 87, 36, 672, 24, 13, 27], [28, 18, 27, 60, 56, 80, 36, 639, 11, 45], [92, 88, 6, 13, 8, 21, 13, 6, 681, 72], [25, 211, 6, 14, 4, 13, 29, 31, 67, 600]]"
6,6,10,0.51554,0.5498,"[[599, 50, 33, 18, 17, 6, 33, 17, 156, 71], [18, 734, 8, 12, 4, 6, 16, 5, 61, 136], [84, 21, 353, 89, 132, 73, 149, 45, 32, 22], [24, 24, 66, 361, 37, 149, 212, 62, 29, 36], [40, 21, 102, 60, 411, 40, 191, 90, 34, 11], [11, 11, 84, 211, 35, 407, 118, 81, 22, 20], [2, 16, 52, 51, 67, 20, 748, 15, 13, 16], [32, 15, 24, 75, 64, 78, 54, 602, 11, 45], [97, 82, 6, 11, 8, 14, 16, 7, 705, 54], [29, 233, 6, 10, 5, 10, 33, 23, 73, 578]]"
7,7,10,0.53172,0.5616,"[[586, 51, 41, 20, 21, 7, 23, 25, 149, 77], [18, 751, 9, 11, 6, 4, 13, 8, 44, 136], [72, 22, 372, 83, 144, 73, 118, 60, 33, 23], [21, 23, 67, 361, 45, 171, 169, 77, 26, 40], [33, 21, 83, 59, 430, 44, 161, 126, 29, 14], [11, 8, 75, 209, 34, 426, 94, 99, 20, 24], [3, 15, 47, 61, 76, 24, 722, 22, 10, 20], [17, 13, 27, 55, 54, 84, 45, 655, 9, 41], [85, 90, 5, 16, 13, 15, 13, 8, 693, 62], [25, 209, 5, 14, 6, 13, 26, 27, 55, 620]]"
8,8,10,0.54236,0.5734,"[[599, 38, 46, 20, 20, 12, 19, 24, 150, 72], [25, 719, 8, 11, 6, 6, 13, 7, 50, 155], [72, 16, 414, 79, 109, 99, 103, 45, 34, 29], [25, 20, 63, 349, 48, 226, 140, 64, 28, 37], [33, 12, 109, 67, 426, 53, 142, 114, 33, 11], [14, 8, 78, 175, 29, 504, 73, 77, 21, 21], [4, 9, 58, 76, 74, 34, 695, 15, 11, 24], [20, 9, 23, 57, 51, 106, 38, 649, 9, 38], [79, 66, 6, 15, 12, 17, 11, 8, 733, 53], [28, 174, 9, 19, 3, 16, 20, 22, 63, 646]]"
9,9,10,0.55256,0.5781,"[[609, 39, 45, 27, 19, 11, 19, 23, 148, 60], [25, 734, 13, 15, 4, 6, 15, 6, 52, 130], [73, 14, 439, 77, 97, 94, 113, 38, 32, 23], [24, 19, 74, 356, 41, 222, 154, 54, 26, 30], [33, 13, 122, 61, 406, 51, 156, 115, 32, 11], [15, 11, 82, 181, 25, 501, 85, 61, 19, 20], [3, 11, 59, 67, 65, 29, 727, 11, 9, 19], [17, 11, 29, 56, 48, 107, 48, 644, 7, 33], [83, 67, 6, 14, 10, 19, 11, 6, 727, 57], [27, 191, 10, 17, 3, 18, 22, 19, 55, 638]]"
