,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.4408,"[[286, 81, 36, 23, 39, 2, 33, 28, 397, 75], [4, 553, 5, 15, 8, 0, 30, 12, 181, 192], [45, 49, 188, 110, 284, 15, 157, 77, 54, 21], [10, 49, 51, 340, 89, 42, 265, 59, 35, 60], [26, 27, 54, 63, 461, 2, 229, 77, 43, 18], [4, 26, 72, 277, 127, 170, 164, 81, 47, 32], [0, 25, 37, 66, 159, 3, 648, 20, 18, 24], [14, 33, 27, 103, 152, 23, 66, 487, 32, 63], [24, 78, 8, 23, 13, 2, 17, 13, 741, 81], [6, 174, 4, 25, 7, 0, 42, 35, 173, 534]]"
1,1,10,10,0.5354,"[[505, 44, 74, 12, 21, 11, 37, 18, 223, 55], [17, 700, 22, 10, 6, 8, 19, 9, 93, 116], [50, 24, 412, 70, 144, 89, 114, 50, 36, 11], [19, 26, 80, 312, 48, 212, 202, 49, 23, 29], [24, 17, 120, 58, 424, 47, 158, 107, 32, 13], [9, 13, 97, 172, 37, 458, 105, 70, 27, 12], [3, 14, 63, 60, 105, 20, 687, 20, 16, 12], [19, 13, 35, 56, 62, 113, 50, 603, 11, 38], [67, 65, 12, 13, 16, 23, 12, 6, 738, 48], [25, 250, 12, 15, 8, 9, 36, 32, 98, 515]]"
2,2,10,10,0.5704,"[[576, 51, 34, 16, 25, 11, 30, 20, 168, 69], [15, 731, 8, 10, 4, 7, 12, 7, 57, 149], [60, 19, 385, 109, 140, 73, 110, 46, 35, 23], [23, 20, 58, 416, 53, 188, 136, 45, 29, 32], [29, 14, 92, 96, 463, 35, 114, 111, 33, 13], [13, 10, 68, 228, 42, 452, 70, 71, 22, 24], [2, 16, 46, 88, 121, 20, 664, 18, 9, 16], [17, 13, 24, 76, 59, 84, 41, 626, 12, 48], [82, 56, 5, 26, 6, 13, 12, 6, 738, 56], [21, 181, 4, 17, 4, 6, 30, 20, 64, 653]]"
3,3,10,10,0.5893,"[[606, 51, 39, 19, 28, 16, 17, 15, 155, 54], [19, 801, 8, 11, 2, 6, 13, 8, 49, 83], [58, 24, 420, 95, 133, 100, 82, 35, 37, 16], [28, 25, 52, 410, 44, 230, 120, 40, 33, 18], [36, 19, 79, 73, 477, 54, 114, 111, 29, 8], [17, 11, 48, 212, 31, 523, 64, 54, 21, 19], [4, 16, 38, 93, 90, 33, 686, 13, 15, 12], [18, 16, 16, 77, 69, 105, 31, 625, 8, 35], [85, 65, 6, 26, 5, 19, 6, 5, 757, 26], [24, 232, 9, 25, 4, 5, 23, 17, 73, 588]]"
4,4,10,10,0.6123,"[[662, 44, 30, 14, 19, 15, 22, 9, 131, 54], [33, 789, 6, 10, 2, 7, 14, 6, 39, 94], [68, 22, 498, 62, 107, 81, 72, 36, 35, 19], [26, 24, 70, 364, 56, 250, 126, 37, 25, 22], [30, 14, 110, 49, 517, 56, 88, 100, 28, 8], [19, 13, 57, 162, 39, 541, 81, 52, 21, 15], [7, 15, 64, 67, 78, 34, 699, 16, 7, 13], [15, 9, 19, 71, 86, 88, 32, 637, 11, 32], [95, 64, 6, 16, 9, 17, 10, 2, 747, 34], [28, 176, 9, 21, 0, 6, 24, 13, 54, 669]]"
5,5,10,10,0.6318,"[[686, 28, 37, 16, 15, 10, 23, 17, 109, 59], [33, 763, 4, 9, 4, 11, 13, 7, 44, 112], [61, 14, 451, 66, 113, 95, 110, 44, 27, 19], [17, 20, 65, 375, 56, 248, 130, 44, 24, 21], [25, 7, 77, 49, 551, 46, 99, 116, 23, 7], [17, 9, 45, 165, 43, 553, 79, 57, 19, 13], [8, 3, 32, 60, 65, 29, 772, 14, 5, 12], [14, 6, 17, 64, 76, 85, 30, 673, 7, 28], [83, 45, 10, 20, 6, 16, 13, 5, 767, 35], [32, 127, 7, 19, 1, 8, 22, 14, 43, 727]]"
6,6,10,10,0.6394,"[[687, 39, 34, 15, 9, 7, 26, 11, 114, 58], [32, 770, 5, 8, 5, 9, 18, 4, 53, 96], [62, 16, 481, 66, 106, 74, 108, 36, 30, 21], [23, 20, 61, 405, 59, 209, 136, 33, 27, 27], [28, 10, 86, 42, 555, 43, 99, 102, 28, 7], [17, 10, 59, 160, 50, 525, 87, 57, 23, 12], [9, 9, 43, 43, 62, 27, 781, 11, 5, 10], [15, 8, 25, 63, 82, 67, 32, 665, 9, 34], [78, 45, 12, 21, 4, 10, 16, 5, 781, 28], [21, 127, 8, 16, 1, 4, 22, 10, 47, 744]]"
7,7,10,10,0.6474,"[[694, 43, 25, 21, 11, 9, 17, 15, 110, 55], [22, 814, 2, 12, 4, 7, 8, 5, 45, 81], [71, 19, 474, 79, 121, 56, 97, 37, 27, 19], [28, 19, 53, 445, 63, 185, 108, 45, 31, 23], [22, 7, 73, 46, 589, 38, 79, 115, 23, 8], [17, 13, 49, 200, 53, 491, 76, 60, 25, 16], [8, 12, 38, 51, 78, 23, 756, 13, 9, 12], [12, 9, 24, 61, 76, 57, 26, 696, 8, 31], [65, 57, 4, 25, 8, 10, 9, 2, 788, 32], [33, 139, 5, 19, 1, 6, 19, 10, 41, 727]]"
8,8,10,10,0.6433,"[[678, 41, 31, 16, 9, 9, 26, 12, 131, 47], [26, 803, 5, 12, 6, 11, 9, 3, 56, 69], [73, 15, 535, 81, 82, 51, 86, 31, 33, 13], [26, 20, 62, 450, 48, 183, 115, 41, 35, 20], [30, 10, 109, 49, 533, 34, 88, 110, 30, 7], [16, 10, 52, 200, 39, 512, 72, 57, 31, 11], [8, 12, 52, 66, 49, 25, 760, 8, 12, 8], [18, 9, 31, 69, 67, 69, 27, 661, 15, 34], [76, 43, 7, 23, 3, 5, 9, 3, 813, 18], [25, 157, 10, 19, 3, 7, 21, 8, 62, 688]]"
9,9,10,10,0.6568,"[[686, 42, 27, 16, 17, 6, 23, 15, 101, 67], [16, 813, 3, 12, 4, 7, 9, 5, 35, 96], [72, 16, 467, 76, 118, 56, 124, 30, 21, 20], [22, 22, 64, 428, 65, 177, 122, 44, 30, 26], [19, 5, 66, 38, 616, 39, 104, 84, 24, 5], [18, 12, 50, 177, 60, 515, 78, 57, 15, 18], [6, 8, 36, 45, 46, 19, 813, 9, 7, 11], [14, 9, 23, 60, 99, 58, 26, 671, 5, 35], [62, 55, 5, 20, 13, 8, 11, 3, 789, 34], [26, 116, 6, 17, 6, 5, 18, 7, 29, 770]]"
