,Round,Daisy,Epoch,Test Accuracy,Confusion Matrix
0,0,10,10,0.5541,"[[485, 19, 76, 30, 42, 5, 21, 16, 268, 38], [44, 632, 17, 15, 17, 5, 18, 5, 117, 130], [61, 6, 464, 93, 175, 44, 79, 16, 44, 18], [13, 12, 102, 430, 106, 124, 110, 36, 42, 25], [23, 4, 108, 54, 595, 27, 70, 83, 30, 6], [10, 9, 87, 243, 129, 354, 82, 53, 20, 13], [12, 11, 81, 82, 119, 15, 635, 11, 24, 10], [24, 8, 53, 83, 173, 52, 21, 553, 12, 21], [55, 27, 19, 23, 16, 0, 10, 4, 826, 20], [65, 118, 19, 29, 19, 5, 26, 19, 133, 567]]"
1,1,10,10,0.5888,"[[550, 36, 81, 30, 34, 7, 28, 29, 151, 54], [26, 708, 14, 18, 9, 8, 25, 8, 51, 133], [53, 7, 432, 105, 176, 62, 97, 34, 20, 14], [9, 15, 49, 465, 83, 165, 127, 44, 20, 23], [16, 8, 67, 59, 585, 34, 87, 124, 10, 10], [4, 12, 51, 222, 96, 450, 77, 66, 6, 16], [7, 8, 43, 73, 97, 29, 707, 14, 9, 13], [14, 7, 29, 79, 112, 78, 21, 636, 4, 20], [80, 54, 23, 32, 18, 6, 14, 6, 730, 37], [38, 143, 19, 37, 14, 10, 26, 34, 54, 625]]"
2,2,10,10,0.5869,"[[528, 42, 91, 33, 32, 5, 29, 23, 161, 56], [22, 712, 14, 24, 9, 8, 24, 8, 51, 128], [49, 9, 462, 107, 138, 65, 105, 26, 23, 16], [8, 15, 62, 496, 67, 148, 127, 36, 19, 22], [14, 7, 83, 70, 558, 38, 98, 110, 12, 10], [6, 9, 56, 251, 85, 424, 90, 58, 6, 15], [5, 9, 52, 78, 82, 22, 717, 15, 7, 13], [12, 6, 37, 90, 113, 75, 28, 614, 3, 22], [75, 54, 24, 37, 19, 4, 12, 5, 732, 38], [35, 157, 16, 40, 11, 9, 30, 24, 52, 626]]"
3,3,10,10,0.5889,"[[542, 36, 80, 24, 36, 7, 18, 33, 166, 58], [27, 706, 11, 16, 10, 8, 19, 5, 50, 148], [46, 7, 427, 97, 177, 75, 90, 37, 26, 18], [12, 15, 51, 460, 77, 181, 98, 52, 28, 26], [13, 6, 68, 63, 577, 40, 74, 134, 14, 11], [7, 9, 53, 228, 87, 461, 55, 72, 10, 18], [7, 10, 47, 85, 103, 36, 670, 17, 11, 14], [16, 6, 29, 76, 105, 69, 18, 655, 4, 22], [69, 47, 21, 28, 18, 2, 9, 7, 757, 42], [37, 140, 15, 33, 9, 8, 27, 39, 58, 634]]"
4,4,10,10,0.5933,"[[561, 33, 80, 19, 34, 8, 24, 28, 157, 56], [26, 718, 13, 15, 11, 6, 21, 5, 60, 125], [51, 7, 450, 95, 159, 65, 99, 34, 23, 17], [15, 15, 52, 471, 78, 148, 124, 43, 25, 29], [20, 7, 69, 58, 573, 33, 94, 123, 12, 11], [4, 9, 55, 235, 93, 435, 74, 66, 13, 16], [9, 12, 49, 77, 89, 27, 700, 13, 11, 13], [18, 5, 39, 74, 109, 65, 24, 641, 5, 20], [70, 50, 21, 25, 20, 2, 9, 7, 761, 35], [41, 151, 16, 29, 13, 10, 26, 27, 64, 623]]"
5,5,10,10,0.5921,"[[548, 33, 77, 20, 44, 7, 30, 28, 154, 59], [23, 721, 16, 19, 9, 6, 31, 9, 48, 118], [51, 9, 443, 84, 170, 60, 118, 29, 21, 15], [13, 16, 56, 450, 75, 144, 156, 47, 23, 20], [17, 5, 67, 50, 584, 29, 107, 124, 9, 8], [4, 10, 55, 224, 93, 427, 91, 68, 12, 16], [7, 11, 46, 61, 84, 20, 737, 14, 9, 11], [11, 8, 37, 69, 107, 63, 33, 654, 3, 15], [76, 54, 24, 31, 19, 3, 12, 8, 733, 40], [38, 148, 18, 33, 8, 10, 35, 36, 50, 624]]"
6,6,10,10,0.5967,"[[543, 39, 69, 26, 32, 11, 27, 26, 166, 61], [21, 736, 11, 17, 9, 8, 20, 6, 48, 124], [57, 9, 437, 92, 155, 70, 106, 36, 22, 16], [13, 15, 50, 464, 71, 166, 132, 40, 23, 26], [17, 8, 64, 54, 584, 37, 92, 121, 11, 12], [3, 10, 54, 234, 86, 448, 73, 64, 12, 16], [6, 13, 49, 70, 86, 29, 710, 13, 10, 14], [14, 7, 29, 66, 111, 81, 25, 642, 3, 22], [67, 54, 23, 26, 16, 4, 13, 6, 756, 35], [40, 143, 16, 30, 9, 7, 28, 27, 53, 647]]"
7,7,10,10,0.5906,"[[548, 29, 79, 32, 41, 6, 28, 33, 145, 59], [25, 633, 15, 23, 15, 9, 26, 12, 48, 194], [45, 8, 431, 97, 172, 73, 113, 31, 18, 12], [8, 12, 48, 492, 73, 156, 125, 49, 20, 17], [17, 4, 62, 68, 572, 31, 93, 132, 11, 10], [4, 7, 50, 230, 93, 452, 73, 69, 9, 13], [5, 7, 39, 75, 95, 28, 711, 16, 7, 17], [14, 2, 34, 76, 104, 74, 18, 656, 3, 19], [80, 38, 23, 39, 23, 4, 14, 8, 728, 43], [35, 91, 15, 41, 12, 11, 30, 36, 46, 683]]"
8,8,10,10,0.5966,"[[563, 37, 71, 22, 29, 8, 26, 25, 162, 57], [25, 712, 10, 17, 7, 8, 19, 6, 54, 142], [50, 12, 439, 90, 157, 75, 104, 30, 26, 17], [15, 15, 53, 452, 64, 182, 128, 44, 25, 22], [19, 9, 66, 62, 564, 43, 96, 116, 15, 10], [6, 9, 55, 209, 78, 483, 67, 62, 14, 17], [9, 12, 47, 68, 76, 34, 716, 13, 13, 12], [16, 4, 36, 77, 110, 78, 18, 634, 4, 23], [75, 48, 20, 28, 10, 3, 14, 6, 765, 31], [38, 145, 14, 24, 12, 12, 26, 26, 65, 638]]"
9,9,10,10,0.5952,"[[553, 33, 81, 25, 32, 8, 24, 25, 160, 59], [23, 689, 15, 20, 10, 7, 20, 10, 61, 145], [47, 8, 483, 110, 130, 65, 89, 25, 24, 19], [13, 11, 56, 510, 66, 137, 117, 39, 25, 26], [17, 7, 92, 71, 557, 31, 81, 116, 16, 12], [6, 7, 69, 254, 79, 436, 65, 56, 12, 16], [8, 10, 64, 82, 81, 22, 693, 13, 12, 15], [17, 4, 41, 90, 115, 70, 20, 621, 4, 18], [68, 44, 25, 27, 17, 3, 13, 6, 767, 30], [38, 124, 18, 35, 13, 11, 28, 21, 69, 643]]"
