,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,0.10022,0.1001,"[[0, 0, 0, 0, 0, 0, 0, 2, 998, 0], [0, 0, 0, 3, 0, 0, 0, 1, 996, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 2, 998, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 1, 0, 0, 0, 1, 998, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 1, 0, 0, 0, 3, 996, 0]]"
2,2,0.1005,0.101,"[[0, 0, 0, 16, 0, 0, 0, 984, 0, 0], [0, 0, 0, 36, 0, 0, 0, 964, 0, 0], [0, 0, 0, 17, 0, 0, 0, 983, 0, 0], [0, 0, 0, 39, 0, 0, 0, 961, 0, 0], [0, 0, 0, 15, 0, 0, 0, 985, 0, 0], [0, 0, 0, 36, 0, 0, 0, 964, 0, 0], [0, 0, 0, 51, 0, 0, 0, 949, 0, 0], [0, 0, 0, 29, 0, 0, 0, 971, 0, 0], [0, 0, 0, 12, 0, 0, 0, 988, 0, 0], [0, 0, 0, 12, 0, 0, 0, 988, 0, 0]]"
3,3,0.14064,0.1417,"[[0, 0, 0, 152, 0, 0, 0, 169, 0, 679], [0, 0, 0, 326, 0, 0, 0, 115, 0, 559], [0, 0, 0, 527, 0, 0, 0, 194, 0, 279], [0, 0, 0, 553, 0, 0, 0, 176, 0, 271], [0, 0, 0, 653, 0, 0, 0, 171, 0, 176], [0, 0, 0, 476, 0, 0, 0, 172, 0, 352], [0, 0, 0, 733, 0, 0, 0, 149, 0, 118], [0, 0, 0, 411, 0, 0, 0, 348, 0, 241], [0, 0, 0, 153, 0, 0, 0, 90, 0, 757], [0, 0, 0, 250, 0, 0, 0, 234, 0, 516]]"
4,4,0.15476,0.1542,"[[2, 0, 0, 101, 0, 0, 0, 46, 205, 646], [2, 0, 0, 285, 0, 0, 4, 32, 46, 631], [1, 0, 0, 494, 0, 0, 0, 63, 51, 391], [1, 0, 0, 527, 0, 0, 0, 62, 18, 392], [0, 0, 0, 669, 0, 0, 0, 40, 9, 282], [3, 0, 0, 472, 0, 0, 0, 58, 26, 441], [0, 0, 0, 752, 0, 0, 2, 45, 1, 200], [1, 0, 0, 398, 0, 0, 1, 157, 16, 427], [0, 0, 0, 116, 0, 0, 0, 12, 153, 719], [0, 0, 0, 182, 0, 0, 1, 61, 55, 701]]"
5,5,0.17014,0.1739,"[[638, 0, 0, 27, 0, 0, 19, 24, 244, 48], [546, 0, 0, 69, 0, 0, 89, 40, 134, 122], [399, 0, 0, 184, 0, 0, 182, 76, 63, 96], [414, 0, 0, 198, 0, 0, 170, 72, 24, 122], [261, 0, 0, 243, 0, 0, 320, 93, 13, 70], [466, 0, 0, 173, 0, 0, 141, 85, 44, 91], [204, 0, 0, 247, 0, 0, 402, 76, 3, 68], [443, 0, 0, 135, 0, 0, 119, 193, 22, 88], [694, 0, 0, 32, 0, 0, 16, 12, 205, 41], [643, 0, 0, 46, 0, 0, 57, 58, 93, 103]]"
6,6,0.21392,0.2203,"[[76, 0, 0, 62, 0, 4, 54, 27, 539, 238], [41, 1, 0, 103, 0, 27, 172, 53, 340, 263], [9, 0, 0, 212, 0, 8, 404, 51, 139, 177], [4, 0, 0, 289, 0, 14, 375, 68, 60, 190], [13, 0, 0, 171, 0, 1, 594, 57, 45, 119], [5, 0, 0, 268, 0, 13, 365, 45, 84, 220], [1, 0, 0, 157, 0, 1, 712, 43, 9, 77], [7, 2, 0, 185, 0, 9, 318, 174, 61, 244], [60, 1, 0, 68, 0, 10, 38, 30, 549, 244], [59, 0, 0, 84, 0, 6, 131, 93, 238, 389]]"
7,7,0.22042,0.2283,"[[13, 4, 0, 52, 0, 20, 47, 33, 713, 118], [6, 18, 0, 85, 0, 63, 147, 70, 495, 116], [0, 3, 0, 191, 0, 53, 400, 66, 197, 90], [0, 4, 0, 226, 0, 96, 353, 95, 118, 108], [1, 1, 0, 152, 0, 18, 597, 66, 94, 71], [0, 8, 0, 215, 0, 119, 339, 59, 173, 87], [0, 3, 0, 118, 0, 31, 714, 61, 17, 56], [0, 9, 0, 151, 2, 49, 286, 211, 122, 170], [2, 2, 0, 67, 0, 25, 29, 34, 716, 125], [2, 9, 0, 69, 1, 17, 117, 107, 412, 266]]"
8,8,0.2328,0.2391,"[[113, 3, 0, 2, 0, 63, 44, 34, 593, 148], [4, 16, 0, 1, 0, 147, 132, 72, 489, 139], [13, 1, 0, 28, 0, 196, 382, 90, 212, 78], [2, 2, 0, 38, 0, 292, 321, 118, 134, 93], [8, 1, 0, 20, 0, 125, 587, 86, 102, 71], [0, 4, 0, 34, 0, 294, 315, 82, 199, 72], [0, 3, 0, 26, 0, 116, 695, 80, 26, 54], [6, 6, 0, 28, 0, 152, 252, 244, 117, 195], [27, 2, 0, 4, 0, 79, 19, 42, 657, 170], [4, 2, 0, 12, 0, 64, 107, 111, 366, 334]]"
9,9,0.2444,0.2578,"[[554, 14, 0, 12, 0, 88, 45, 64, 54, 169], [194, 108, 0, 7, 0, 177, 125, 108, 146, 135], [139, 26, 0, 27, 0, 204, 407, 123, 23, 51], [59, 14, 0, 32, 0, 298, 357, 157, 17, 66], [55, 4, 0, 22, 0, 126, 606, 112, 15, 60], [61, 18, 0, 39, 0, 343, 336, 116, 33, 54], [12, 5, 0, 19, 0, 112, 711, 117, 2, 22], [41, 25, 0, 27, 0, 150, 260, 317, 21, 159], [422, 22, 0, 8, 0, 98, 21, 54, 146, 229], [167, 24, 0, 13, 0, 79, 109, 147, 94, 367]]"
10,10,0.24942,0.262,"[[604, 37, 0, 9, 0, 33, 44, 55, 46, 172], [252, 176, 0, 19, 0, 92, 110, 102, 97, 152], [184, 36, 0, 53, 0, 145, 369, 139, 20, 54], [98, 24, 0, 101, 0, 220, 303, 156, 28, 70], [78, 6, 0, 44, 0, 88, 574, 134, 20, 56], [115, 63, 0, 95, 0, 225, 299, 114, 42, 47], [24, 10, 0, 30, 0, 96, 683, 120, 7, 30], [69, 50, 0, 54, 0, 93, 218, 333, 23, 160], [496, 37, 0, 28, 0, 46, 15, 55, 106, 217], [195, 37, 0, 22, 0, 45, 90, 131, 88, 392]]"
11,11,0.26386,0.2742,"[[550, 39, 0, 22, 0, 35, 44, 61, 119, 130], [140, 208, 0, 18, 1, 89, 104, 94, 213, 133], [162, 38, 0, 68, 0, 172, 352, 141, 27, 40], [85, 27, 0, 97, 0, 271, 272, 158, 41, 49], [71, 6, 0, 53, 0, 112, 549, 138, 26, 45], [78, 50, 0, 118, 0, 274, 261, 120, 67, 32], [25, 11, 0, 32, 1, 125, 660, 118, 5, 23], [60, 48, 0, 51, 2, 118, 200, 345, 41, 135], [388, 46, 0, 29, 0, 50, 14, 53, 244, 176], [117, 49, 1, 26, 0, 46, 80, 130, 187, 364]]"
12,12,0.26804,0.282,"[[480, 42, 0, 77, 0, 37, 55, 113, 72, 124], [107, 242, 0, 52, 3, 79, 134, 122, 148, 113], [119, 33, 0, 129, 14, 96, 449, 130, 10, 20], [34, 17, 0, 196, 7, 170, 368, 171, 13, 24], [44, 4, 0, 88, 14, 71, 619, 128, 9, 23], [31, 23, 0, 207, 9, 224, 350, 128, 10, 18], [12, 6, 0, 51, 3, 57, 757, 102, 1, 11], [34, 36, 0, 72, 14, 105, 258, 410, 10, 61], [324, 54, 0, 75, 1, 46, 34, 93, 177, 196], [90, 63, 0, 48, 1, 36, 120, 203, 119, 320]]"
13,13,0.28492,0.3028,"[[475, 69, 1, 65, 6, 28, 42, 100, 83, 131], [107, 320, 0, 41, 8, 39, 107, 117, 124, 137], [119, 46, 2, 114, 71, 135, 317, 159, 14, 23], [37, 35, 1, 185, 39, 195, 264, 197, 9, 38], [47, 8, 0, 79, 135, 93, 434, 162, 11, 31], [31, 46, 1, 186, 41, 247, 257, 153, 11, 27], [12, 13, 0, 47, 53, 82, 656, 117, 1, 19], [35, 57, 0, 54, 70, 112, 145, 449, 10, 68], [292, 91, 0, 53, 1, 32, 22, 78, 215, 216], [80, 95, 1, 42, 3, 25, 95, 191, 124, 344]]"
14,14,0.29668,0.3142,"[[343, 58, 4, 29, 7, 30, 38, 69, 242, 180], [29, 317, 1, 31, 9, 36, 101, 93, 189, 194], [109, 48, 4, 78, 92, 162, 281, 144, 44, 38], [50, 37, 3, 120, 40, 264, 232, 171, 25, 58], [38, 8, 0, 53, 144, 131, 409, 143, 32, 42], [54, 45, 2, 123, 38, 300, 227, 141, 32, 38], [10, 16, 0, 41, 61, 108, 632, 96, 7, 29], [29, 52, 2, 40, 71, 129, 132, 426, 27, 92], [87, 89, 0, 32, 1, 33, 16, 53, 421, 268], [25, 86, 0, 31, 2, 22, 90, 137, 172, 435]]"
15,15,0.30806,0.332,"[[388, 76, 2, 29, 9, 23, 34, 63, 244, 132], [40, 386, 1, 28, 7, 11, 88, 70, 185, 184], [120, 52, 6, 85, 123, 142, 235, 147, 44, 46], [61, 43, 4, 130, 59, 225, 214, 164, 30, 70], [46, 12, 1, 56, 206, 117, 335, 155, 31, 41], [58, 55, 4, 150, 63, 255, 208, 140, 34, 33], [10, 19, 1, 57, 94, 74, 599, 98, 12, 36], [45, 57, 1, 43, 79, 110, 102, 431, 37, 95], [115, 116, 0, 31, 1, 18, 15, 42, 468, 194], [29, 114, 0, 26, 2, 15, 78, 80, 205, 451]]"
16,16,0.2931,0.3125,"[[314, 99, 1, 13, 3, 4, 25, 42, 333, 166], [19, 457, 0, 10, 1, 0, 45, 34, 166, 268], [118, 85, 3, 73, 22, 72, 253, 143, 138, 93], [84, 98, 2, 163, 5, 82, 203, 138, 102, 123], [51, 30, 1, 85, 44, 50, 402, 183, 71, 83], [92, 106, 1, 118, 6, 132, 199, 124, 141, 81], [22, 63, 2, 54, 15, 26, 562, 97, 42, 117], [48, 94, 1, 43, 8, 53, 116, 375, 77, 185], [56, 145, 0, 12, 0, 2, 9, 19, 527, 230], [12, 157, 0, 16, 0, 3, 30, 37, 197, 548]]"
