,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.10208,0.0998,"[[190, 0, 0, 0, 0, 0, 0, 0, 621, 189], [311, 0, 0, 0, 0, 0, 0, 0, 384, 305], [482, 0, 0, 0, 0, 0, 0, 0, 338, 180], [570, 0, 0, 0, 0, 0, 0, 0, 313, 117], [621, 0, 0, 0, 0, 0, 0, 0, 211, 168], [527, 0, 0, 0, 0, 0, 0, 0, 389, 84], [634, 0, 0, 0, 0, 0, 0, 0, 197, 169], [508, 0, 0, 0, 0, 0, 0, 0, 370, 122], [225, 0, 0, 0, 0, 0, 0, 0, 540, 235], [266, 0, 0, 0, 0, 0, 0, 0, 466, 268]]"
1,1,0.1075,0.1092,"[[225, 0, 0, 0, 0, 0, 0, 0, 278, 497], [224, 0, 0, 0, 0, 0, 1, 0, 125, 650], [380, 0, 0, 0, 0, 0, 0, 0, 149, 471], [533, 0, 0, 0, 0, 0, 0, 0, 114, 353], [435, 0, 0, 0, 0, 0, 0, 0, 63, 502], [570, 0, 0, 0, 0, 0, 0, 0, 146, 284], [476, 0, 0, 0, 0, 0, 0, 0, 51, 473], [451, 0, 0, 0, 0, 0, 0, 0, 126, 423], [239, 0, 0, 0, 0, 0, 1, 0, 220, 540], [206, 0, 0, 0, 0, 0, 0, 0, 147, 647]]"
2,2,0.11248,0.1132,"[[290, 0, 0, 0, 0, 0, 0, 0, 88, 622], [171, 0, 0, 0, 0, 0, 0, 0, 33, 796], [305, 0, 0, 0, 0, 0, 0, 0, 38, 657], [467, 0, 0, 0, 0, 0, 0, 0, 33, 500], [337, 0, 0, 0, 0, 0, 0, 0, 11, 652], [565, 0, 0, 0, 0, 0, 1, 0, 37, 397], [363, 0, 0, 0, 0, 0, 0, 0, 6, 631], [389, 0, 0, 0, 0, 0, 0, 0, 27, 584], [244, 0, 0, 0, 0, 0, 1, 0, 53, 702], [173, 0, 0, 0, 0, 0, 0, 0, 38, 789]]"
3,3,0.11476,0.1177,"[[329, 0, 0, 0, 0, 0, 0, 6, 17, 648], [139, 0, 0, 0, 0, 0, 0, 0, 9, 852], [275, 0, 0, 0, 0, 0, 0, 3, 4, 718], [440, 0, 0, 0, 0, 0, 0, 0, 6, 554], [294, 0, 0, 0, 0, 0, 0, 0, 0, 706], [562, 0, 0, 0, 0, 0, 0, 1, 4, 433], [286, 0, 0, 0, 0, 0, 0, 0, 2, 712], [364, 0, 0, 0, 0, 0, 0, 0, 1, 635], [235, 0, 0, 0, 0, 0, 1, 3, 4, 757], [151, 0, 0, 0, 0, 0, 0, 0, 5, 844]]"
4,4,0.10456,0.1067,"[[146, 0, 0, 0, 0, 0, 0, 241, 0, 613], [95, 0, 0, 0, 0, 0, 0, 64, 1, 840], [188, 0, 0, 0, 0, 1, 0, 114, 0, 697], [317, 0, 0, 0, 0, 1, 0, 123, 0, 559], [240, 0, 0, 0, 0, 0, 0, 53, 0, 707], [365, 0, 0, 0, 0, 1, 0, 184, 0, 450], [229, 0, 0, 0, 0, 0, 0, 57, 0, 714], [289, 0, 0, 0, 0, 0, 0, 78, 0, 633], [149, 0, 0, 0, 0, 0, 1, 116, 0, 734], [91, 0, 0, 0, 0, 1, 0, 66, 0, 842]]"
5,5,0.11362,0.1175,"[[13, 0, 0, 0, 0, 4, 0, 636, 0, 347], [16, 0, 0, 0, 0, 8, 0, 343, 0, 633], [25, 0, 0, 0, 0, 5, 0, 510, 0, 460], [42, 0, 0, 0, 0, 11, 0, 569, 0, 378], [35, 0, 0, 0, 0, 0, 0, 459, 0, 506], [44, 0, 0, 0, 0, 13, 0, 665, 0, 278], [29, 0, 0, 0, 0, 8, 0, 435, 0, 528], [46, 0, 0, 0, 0, 4, 0, 531, 0, 419], [14, 0, 0, 0, 0, 8, 0, 531, 0, 447], [7, 0, 0, 0, 0, 7, 0, 368, 0, 618]]"
6,6,0.11376,0.1137,"[[0, 0, 0, 0, 0, 10, 0, 883, 0, 107], [0, 0, 0, 0, 0, 24, 0, 725, 0, 251], [0, 0, 0, 0, 0, 17, 0, 789, 0, 194], [3, 0, 0, 0, 0, 41, 0, 819, 0, 137], [1, 0, 0, 0, 0, 7, 0, 788, 0, 204], [2, 0, 0, 0, 0, 38, 0, 873, 0, 87], [0, 0, 0, 0, 0, 27, 0, 762, 0, 211], [0, 0, 0, 0, 0, 13, 0, 864, 0, 123], [0, 0, 0, 0, 0, 22, 0, 827, 0, 151], [0, 0, 0, 0, 0, 14, 0, 751, 0, 235]]"
7,7,0.10852,0.1088,"[[0, 0, 0, 0, 0, 29, 0, 945, 0, 26], [0, 0, 0, 0, 0, 72, 0, 847, 0, 81], [0, 0, 0, 0, 0, 44, 0, 886, 0, 70], [0, 0, 0, 0, 0, 102, 0, 843, 0, 55], [0, 0, 0, 0, 0, 52, 0, 882, 0, 66], [0, 0, 0, 0, 0, 94, 0, 881, 0, 25], [0, 0, 0, 0, 0, 98, 0, 829, 0, 73], [0, 0, 0, 0, 0, 38, 0, 944, 0, 18], [0, 0, 0, 0, 0, 55, 0, 926, 0, 19], [0, 0, 0, 0, 0, 42, 0, 908, 0, 50]]"
8,8,0.11266,0.1121,"[[0, 0, 0, 0, 0, 100, 0, 888, 0, 12], [0, 0, 0, 0, 0, 200, 0, 763, 0, 37], [0, 0, 0, 0, 0, 154, 0, 812, 0, 34], [0, 0, 0, 0, 0, 258, 0, 721, 0, 21], [0, 0, 0, 0, 0, 200, 0, 774, 0, 26], [0, 0, 0, 0, 0, 230, 0, 762, 0, 8], [0, 0, 0, 0, 0, 318, 0, 652, 0, 30], [0, 0, 0, 0, 0, 119, 0, 876, 0, 5], [0, 0, 0, 0, 0, 150, 0, 840, 0, 10], [0, 0, 0, 0, 0, 103, 0, 882, 0, 15]]"
9,9,0.1166,0.1151,"[[0, 0, 0, 0, 0, 198, 0, 791, 0, 11], [0, 0, 0, 0, 0, 351, 0, 609, 0, 40], [0, 0, 0, 0, 0, 336, 0, 637, 0, 27], [0, 0, 0, 0, 0, 467, 0, 518, 0, 15], [0, 1, 0, 0, 0, 428, 1, 553, 0, 17], [0, 0, 0, 0, 0, 413, 0, 577, 0, 10], [0, 0, 0, 0, 0, 536, 0, 444, 0, 20], [0, 0, 0, 0, 0, 275, 0, 720, 0, 5], [0, 0, 0, 0, 0, 294, 0, 695, 0, 11], [0, 1, 0, 0, 0, 190, 0, 791, 0, 18]]"
