,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.10104,0.1008,"[[182, 0, 0, 0, 0, 0, 0, 0, 624, 194], [301, 0, 0, 0, 0, 0, 0, 0, 387, 312], [475, 0, 0, 0, 0, 0, 0, 0, 338, 187], [562, 0, 0, 0, 0, 0, 0, 0, 318, 120], [609, 0, 0, 0, 0, 0, 0, 0, 218, 173], [513, 0, 0, 0, 0, 0, 0, 0, 400, 87], [625, 0, 0, 0, 0, 0, 0, 0, 199, 176], [498, 0, 0, 0, 0, 0, 0, 0, 378, 124], [216, 0, 0, 0, 0, 0, 0, 0, 546, 238], [259, 0, 0, 0, 0, 0, 0, 0, 461, 280]]"
1,1,0.10564,0.1056,"[[154, 0, 0, 0, 0, 0, 0, 0, 395, 451], [200, 0, 0, 0, 0, 0, 5, 0, 174, 621], [332, 0, 0, 0, 0, 0, 0, 0, 203, 465], [486, 0, 0, 0, 0, 0, 1, 0, 165, 348], [407, 0, 0, 0, 0, 0, 0, 0, 95, 498], [497, 0, 0, 0, 0, 0, 3, 0, 232, 268], [445, 0, 0, 0, 0, 0, 1, 0, 85, 469], [403, 0, 0, 0, 0, 0, 0, 0, 189, 408], [196, 0, 0, 0, 0, 0, 2, 0, 289, 513], [177, 0, 0, 0, 0, 0, 1, 0, 210, 612]]"
2,2,0.10798,0.1089,"[[166, 0, 0, 0, 0, 0, 8, 0, 108, 718], [104, 0, 0, 0, 0, 0, 24, 0, 31, 841], [162, 0, 0, 0, 0, 0, 18, 0, 36, 784], [316, 0, 0, 0, 0, 0, 38, 0, 38, 608], [198, 0, 0, 0, 0, 0, 13, 0, 17, 772], [406, 0, 0, 0, 0, 0, 46, 0, 50, 498], [224, 0, 0, 0, 0, 0, 24, 0, 8, 744], [271, 0, 0, 0, 0, 0, 21, 0, 25, 683], [158, 0, 0, 0, 0, 0, 20, 0, 47, 775], [94, 0, 0, 0, 0, 0, 16, 0, 38, 852]]"
3,3,0.1097,0.1119,"[[96, 0, 0, 0, 0, 0, 15, 0, 17, 872], [26, 0, 0, 0, 0, 0, 51, 0, 3, 920], [52, 0, 0, 0, 0, 0, 55, 0, 2, 891], [112, 0, 0, 0, 0, 0, 118, 0, 1, 769], [46, 0, 0, 0, 0, 0, 61, 0, 0, 893], [181, 0, 0, 0, 0, 0, 165, 0, 5, 649], [50, 0, 0, 0, 0, 0, 83, 0, 0, 867], [104, 0, 0, 0, 0, 0, 65, 0, 1, 830], [64, 0, 0, 0, 0, 0, 52, 0, 3, 881], [30, 0, 0, 0, 0, 0, 29, 0, 4, 937]]"
4,4,0.11046,0.1126,"[[46, 0, 0, 0, 0, 0, 24, 0, 0, 930], [7, 0, 0, 0, 0, 0, 64, 0, 0, 929], [15, 0, 0, 0, 0, 0, 73, 0, 0, 912], [33, 0, 0, 0, 0, 0, 184, 0, 0, 783], [7, 0, 0, 0, 0, 0, 96, 0, 0, 897], [59, 0, 0, 0, 0, 0, 261, 0, 0, 680], [9, 0, 0, 0, 0, 0, 129, 0, 0, 862], [21, 0, 0, 0, 0, 0, 102, 0, 0, 877], [28, 0, 0, 0, 0, 0, 80, 0, 0, 892], [14, 0, 0, 0, 0, 0, 35, 0, 0, 951]]"
5,5,0.11162,0.1117,"[[16, 0, 0, 0, 0, 0, 36, 0, 0, 948], [1, 0, 0, 0, 0, 0, 77, 0, 0, 922], [4, 0, 0, 0, 0, 0, 103, 0, 0, 893], [6, 0, 0, 0, 0, 0, 228, 0, 0, 766], [1, 0, 0, 0, 0, 0, 138, 0, 0, 861], [13, 0, 0, 0, 0, 0, 330, 0, 0, 657], [3, 0, 0, 0, 0, 0, 146, 0, 0, 851], [2, 0, 0, 0, 0, 0, 128, 0, 0, 870], [10, 0, 0, 0, 0, 0, 98, 0, 0, 892], [1, 0, 0, 0, 0, 0, 44, 0, 0, 955]]"
6,6,0.11278,0.1129,"[[7, 0, 0, 0, 0, 0, 39, 0, 0, 954], [0, 0, 0, 0, 0, 0, 87, 0, 0, 913], [0, 0, 0, 0, 0, 0, 116, 0, 0, 884], [2, 0, 0, 0, 0, 0, 248, 0, 0, 750], [1, 0, 0, 0, 0, 0, 163, 0, 0, 836], [0, 0, 0, 0, 0, 0, 348, 0, 0, 652], [0, 0, 0, 0, 0, 0, 175, 0, 0, 825], [1, 0, 0, 0, 0, 0, 140, 0, 0, 859], [0, 0, 0, 0, 0, 0, 113, 0, 0, 887], [0, 0, 0, 0, 0, 0, 53, 0, 0, 947]]"
7,7,0.1179,0.1178,"[[2, 0, 0, 0, 0, 0, 57, 0, 0, 941], [0, 0, 0, 0, 0, 0, 115, 0, 0, 885], [0, 0, 0, 0, 0, 0, 179, 0, 0, 821], [0, 0, 0, 0, 0, 0, 326, 0, 0, 674], [0, 0, 0, 0, 0, 0, 253, 0, 0, 747], [0, 0, 0, 0, 0, 0, 416, 0, 0, 584], [0, 0, 0, 0, 0, 0, 246, 0, 0, 754], [0, 0, 0, 0, 0, 0, 189, 0, 0, 811], [0, 0, 0, 0, 0, 0, 138, 0, 0, 862], [0, 0, 0, 0, 0, 0, 70, 0, 0, 930]]"
8,8,0.12276,0.1235,"[[0, 0, 0, 0, 0, 0, 70, 0, 0, 930], [0, 0, 0, 0, 0, 0, 132, 0, 0, 868], [0, 0, 0, 0, 0, 0, 216, 0, 0, 784], [0, 0, 0, 0, 0, 0, 355, 0, 0, 645], [0, 0, 0, 0, 0, 0, 313, 0, 0, 687], [0, 0, 0, 0, 0, 0, 454, 0, 0, 546], [0, 0, 0, 0, 0, 0, 310, 0, 0, 690], [0, 0, 0, 0, 0, 0, 222, 0, 0, 778], [0, 0, 0, 0, 0, 0, 158, 0, 0, 842], [0, 0, 0, 0, 0, 0, 75, 0, 0, 925]]"
9,9,0.13132,0.1316,"[[0, 0, 0, 0, 0, 0, 93, 0, 0, 907], [0, 0, 0, 0, 0, 0, 178, 0, 0, 822], [0, 0, 0, 0, 0, 0, 304, 0, 0, 696], [0, 0, 0, 0, 0, 0, 436, 0, 0, 564], [0, 0, 0, 0, 0, 0, 437, 0, 0, 563], [0, 0, 0, 0, 0, 0, 527, 0, 0, 473], [0, 0, 0, 0, 0, 0, 419, 0, 0, 581], [0, 0, 0, 0, 0, 0, 285, 0, 0, 715], [0, 0, 0, 0, 0, 0, 200, 0, 0, 800], [0, 0, 0, 0, 0, 0, 103, 0, 0, 897]]"
